X,Y,Index_,event_unique_id,occurrence_year,Division,homicide_type,occurrence_date,Hood_ID,Neighbourhood,Lat,Long,ObjectId
-8819697.54946957,5435992.227625,204,1448992,2006,D42,Shooting,2006/11/14 05:00:00+00,132,Malvern (132),43.809391,-79.2286911,104
-8848172.03994322,5411335.21161538,205,1945800,2006,D11,Other,2006/11/25 05:00:00+00,87,High Park-Swansea (87),43.649334,-79.4844818,105
-8838091.69269757,5410320.54580708,206,1796411,2006,D14,Shooting,2006/12/03 05:00:00+00,77,Waterfront Communities-The Island (77),43.6427383,-79.3939285,106
-8816184.84067369,5434045.85670636,207,1462848,2006,D42,Other,2006/12/03 05:00:00+00,132,Malvern (132),43.796772,-79.1971359,107
-8834168.78271007,5413348.41244456,208,1451923,2006,D51,Other,2006/12/20 05:00:00+00,72,Regent Park (72),43.6624184,-79.3586884,108
-8841815.02910198,5409739.62874884,209,1501929,2006,D14,Shooting,2006/12/25 05:00:00+00,85,South Parkdale (85),43.6389618,-79.4273758,109
-8858078.28350527,5423099.57500496,210,1490523,2006,D23,Stabbing,2006/12/26 05:00:00+00,4,Rexdale-Kipling (4),43.7257538,-79.5734711,110
-8851994.74012511,5428672.51202128,211,1932560,2006,D31,Shooting,2006/12/27 05:00:00+00,24,Black Creek (24),43.7619209,-79.5188217,111
-8856595.39656841,5411037.66301731,212,1904938,2006,D22,Other,2006/10/06 04:00:00+00,14,Islington-City Centre West (14),43.6473999,-79.5601501,112
-8819644.89535042,5434542.99900672,213,1875060,2007,D42,Shooting,2007/01/01 05:00:00+00,132,Malvern (132),43.7999954,-79.2282181,113
-8830362.21272239,5421037.82930708,214,1763040,2007,D54,Shooting,2007/01/11 05:00:00+00,44,Flemingdon Park (44),43.712368,-79.3244934,114
-8851610.00883298,5419105.7747115,215,1441479,2007,D12,Other,2007/01/11 05:00:00+00,113,Weston (113),43.6998215,-79.5153656,115
-8824108.81806318,5431772.86039908,216,1993783,2007,D42,Shooting,2007/01/14 05:00:00+00,128,Agincourt South-Malvern West (128),43.782032,-79.2683182,116
-8847425.50917406,5415749.56695702,217,1492036,2007,D12,Stabbing,2007/01/20 05:00:00+00,111,Rockcliffe-Smythe (111),43.6780205,-79.4777756,117
-8819610.0746137,5422588.93974901,218,1925141,2007,D43,Shooting,2007/02/04 05:00:00+00,123,Cliffcrest (123),43.7224388,-79.2279053,118
-8851369.65892041,5423063.14413283,219,1896894,2007,D31,Stabbing,2007/02/14 05:00:00+00,26,Downsview-Roding-CFB (26),43.7255173,-79.5132065,119
-8826685.59710827,5423291.14368275,220,2061133,2007,D41,Stabbing,2007/03/09 05:00:00+00,120,Clairlea-Birchmount (120),43.7269974,-79.2914658,120
-8855284.08636272,5426647.15210208,221,2065992,2007,D31,Shooting,2007/03/15 04:00:00+00,22,Humbermede (22),43.7487793,-79.5483704,121
-8843314.04623305,5418002.76080023,222,1564750,2007,D13,Shooting,2007/03/17 04:00:00+00,107,Oakwood Village (107),43.6926575,-79.4408417,122
-8840138.51304284,5431533.47280422,223,1438873,2007,D32,Other,2007/03/28 04:00:00+00,51,Willowdale East (51),43.7804794,-79.4123154,123
-8851779.87124398,5427115.67816243,224,2090220,2007,D31,Stabbing,2007/04/02 04:00:00+00,25,Glenfield-Jane Heights (25),43.7518196,-79.5168915,124
-8835379.02595007,5414234.23115273,225,2072766,2007,D51,Shooting,2007/04/04 04:00:00+00,71,Cabbagetown-South St.James Town (71),43.6681747,-79.3695602,125
-8859595.13401877,5427393.15580879,226,1447527,2007,D22,Shooting,2007/04/05 04:00:00+00,2,Mount Olive-Silverstone-Jamestown (2),43.7536201,-79.5870972,126
-8819425.77406474,5428716.02447359,227,1606685,2007,D43,Other,2007/04/06 04:00:00+00,137,Woburn (137),43.7622032,-79.2262497,127
-8843280.07152446,5427624.79169518,228,2086798,2007,D32,Stabbing,2007/04/09 04:00:00+00,34,Bathurst Manor (34),43.7551231,-79.4405365,128
-8833684.6765085,5413753.44740617,229,1842715,2007,D43,Shooting,2007/04/12 04:00:00+00,68,North Riverdale (68),43.6650505,-79.3543396,129
-8823549.12592737,5424267.84222569,230,2003231,2007,D41,Stabbing,2007/04/13 04:00:00+00,124,Kennedy Park (124),43.7333374,-79.2632904,130
-8852980.77477871,5421704.66025929,231,2178693,2007,D31,Shooting,2007/04/21 04:00:00+00,26,Downsview-Roding-CFB (26),43.7166977,-79.5276794,131
-8833284.66105029,5415714.91975386,232,2021610,2007,D54,Stabbing,2007/04/22 04:00:00+00,67,Playter Estates-Danforth (67),43.6777954,-79.3507462,132
-8837296.74908187,5414550.08900833,233,1971014,2007,D51,Other,2007/04/29 04:00:00+00,75,Church-Yonge Corridor (75),43.6702271,-79.3867874,133
-8814221.26504363,5435204.32897916,234,2198590,2007,D42,Shooting,2007/05/09 04:00:00+00,131,Rouge (131),43.8042831,-79.1794968,134
-8855697.69393076,5423251.7698022,235,2226769,2007,D23,Other,2007/05/14 04:00:00+00,5,Elms-Old Rexdale (5),43.7267418,-79.5520859,135
-8837676.39307327,5420428.62600362,236,2163954,2007,D53,Shooting,2007/05/18 04:00:00+00,99,Mount Pleasant East (99),43.7084122,-79.3901978,136
-8854366.83602248,5425571.44911313,237,2044021,2007,D31,Shooting,2007/05/21 04:00:00+00,22,Humbermede (22),43.7417984,-79.5401306,137
-8833153.01462048,5427112.73467869,238,1902458,2007,D31,Shooting,2007/05/23 04:00:00+00,42,Banbury-Don Mills (42),43.7518005,-79.3495636,138
-8838913.82053293,5411387.44245193,239,2151831,2007,D14,Shooting,2007/05/20 04:00:00+00,78,Kensington-Chinatown (78),43.6496735,-79.4013138,139
-8834619.76023117,5411679.12517894,240,2226684,2007,D55,Other,2007/05/26 04:00:00+00,73,Moss Park (73),43.6515694,-79.3627396,140
-8829718.44097518,5428365.0021334,241,2243955,2007,D33,Stabbing,2007/06/05 04:00:00+00,45,Parkwoods-Donalda (45),43.7599258,-79.3187103,141
-8858616.73588224,5424602.25429101,242,2066379,2007,D23,Shooting,2007/06/09 04:00:00+00,3,Thistletown-Beaumond Heights (3),43.735508,-79.5783081,142
-8838550.31786769,5411890.99670621,243,2055785,2007,D14,Other,2007/05/30 04:00:00+00,78,Kensington-Chinatown (78),43.6529465,-79.3980484,143
-8845365.95387905,5417483.60156354,244,2127704,2007,D13,Other,2007/06/17 04:00:00+00,109,Caledonia-Fairbank (109),43.6892853,-79.4592743,144
-8817057.91943998,5431861.08661053,245,2149719,2007,D43,Other,2007/05/08 04:00:00+00,135,Morningside (135),43.7826042,-79.2049789,145
-8818498.3379911,5438072.03976835,246,2064605,2007,D42,Stabbing,2007/06/25 04:00:00+00,131,Rouge (131),43.8228722,-79.2179184,146
-8834984.10892453,5412890.55550719,247,2315548,2007,D51,Stabbing,2007/06/29 04:00:00+00,73,Moss Park (73),43.6594429,-79.3660126,147
-8811366.76613292,5434181.17472191,248,2122523,2007,D42,Shooting,2007/07/04 04:00:00+00,131,Rouge (131),43.7976494,-79.1538544,148
-8815918.16370154,5428687.21652524,249,2126683,2007,D43,Stabbing,2007/07/07 04:00:00+00,136,West Hill (136),43.7620163,-79.1947403,149
-8844263.55696172,5422345.67781282,250,2304950,2007,D32,Shooting,2007/07/03 04:00:00+00,31,Yorkdale-Glen Park (31),43.7208595,-79.4493713,150
-8820174.85405024,5431389.96040846,251,2043425,2007,D43,Stabbing,2007/07/17 04:00:00+00,137,Woburn (137),43.7795486,-79.2329788,151
-8843291.11441795,5417942.27128877,252,2226971,2007,D13,Shooting,2007/07/21 04:00:00+00,107,Oakwood Village (107),43.6922646,-79.4406357,152
-8850278.30489657,5425460.35570612,253,2162156,2007,D31,Shooting,2007/07/22 04:00:00+00,25,Glenfield-Jane Heights (25),43.7410774,-79.5034027,153
-8835923.4339198,5414341.66531827,254,2096282,2007,D51,Shooting,2007/07/22 04:00:00+00,74,North St.James Town (74),43.6688728,-79.3744507,154
-8837507.3766904,5411160.90583504,255,2253925,2007,D52,Shooting,2007/07/22 04:00:00+00,77,Waterfront Communities-The Island (77),43.648201,-79.3886795,155
-8817829.08521245,5437388.71942445,256,2314144,2007,D42,Shooting,2007/07/28 04:00:00+00,131,Rouge (131),43.8184433,-79.2119064,156
-8845954.52229077,5413808.04638778,257,2133216,2007,D11,Other,2007/07/28 04:00:00+00,90,Junction Area (90),43.6654053,-79.4645615,157
-8860311.94248389,5424335.42927612,258,2177286,2007,D23,Shooting,2007/07/30 04:00:00+00,1,West Humber-Clairville (1),43.7337761,-79.5935364,158
